fault type,fault intensity,fault occurred time
Outdoor air temperature sensor bias,x' = x + 1°C,2/6/17 - 2/12/17
Outdoor air temperature sensor bias,x' = x + 1°C,5/9/17 - 5/14/17
Outdoor air temperature sensor bias,x' = x + 1°C,8/7/17 - 8/13/17
Outdoor air temperature sensor bias,x' = x + 1°C,11/6/17 - 11/12/17
Outdoor air temperature sensor bias,x' = x + 2°C,2/13/17 - 2/19/17
Outdoor air temperature sensor bias,x' = x + 2°C,5/16/17 - 5/21/17
Outdoor air temperature sensor bias,x' = x + 2°C,8/14/17 - 8/20/17
Outdoor air temperature sensor bias,x' = x + 2°C,11/13/17 - 11/19/17
Outdoor air temperature sensor bias,x' = x + 4°C,2/20/17 - 2/26/17
Outdoor air temperature sensor bias,x' = x + 4°C,5/23/17 - 5/28/17
Outdoor air temperature sensor bias,x' = x + 4°C,8/21/17 - 8/27/17
Outdoor air temperature sensor bias,x' = x + 4°C,11/20/17 - 11/26/17
Outdoor air temperature sensor bias,x' = x - 1°C,2/27/17 - 3/5/17
Outdoor air temperature sensor bias,x' = x - 1°C,5/30/17 - 6/4/17
Outdoor air temperature sensor bias,x' = x - 1°C,8/28/17 - 9/3/17
Outdoor air temperature sensor bias,x' = x - 1°C,11/27/17 - 12/3/17
Outdoor air temperature sensor bias,x' = x - 2°C,3/6/17 - 3/12/17
Outdoor air temperature sensor bias,x' = x - 2°C,6/6/17 - 6/11/17
Outdoor air temperature sensor bias,x' = x - 2°C,9/4/17 - 9/10/17
Outdoor air temperature sensor bias,x' = x - 2°C,12/4/17 - 12/10/17
Outdoor air temperature sensor bias,x' = x - 4°C,3/13/17 - 3/19/17
Outdoor air temperature sensor bias,x' = x - 4°C,6/13/17 - 6/18/17
Outdoor air temperature sensor bias,x' = x - 4°C,9/11/17 - 9/17/17
Outdoor air temperature sensor bias,x' = x - 4°C,12/11/17 - 12/17/17
