source_dataset,building,label_mode,tag,class_id,class_name,train_rows,val_rows,test_rows,train_episodes,val_episodes,test_episodes,low_train_support_flag,seen_in_train,seen_in_test
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,0,Condenser Fouling,2879,0,0,2,0,0,0,1,0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,1,Excessive infiltration,2879,0,0,2,0,0,0,1,0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,2,HVAC Setback Error: Delayed Onset,1440,0,0,1,0,0,1,1,0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,3,HVAC Setback Error: Early Termination,1440,0,0,1,0,0,1,1,0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,4,Lighting Setback Error: Delayed Onset,0,0,1439,0,0,1,1,0,1
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,5,Lighting Setback Error: Early Termination,0,0,1440,0,0,1,1,0,1
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,6,No Overnight HVAC Setback,1440,0,0,1,0,0,1,1,0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,7,No Overnight Lighting Setback,0,0,1440,0,0,1,1,0,1
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,8,Normal,7202,2881,0,4,1,0,0,1,0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,9,Thermostat measurement bias,5760,0,0,1,0,0,1,1,0
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,0,Leakage of Cooling Coil Valve,2880,0,0,1,0,0,1,1,0
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,1,Leakage of Heating Coil Valve,2880,0,0,1,0,0,1,1,0
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,2,Leakage of OA Damper,2880,0,0,1,0,0,1,1,0
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,3,Normal,0,0,1440,0,0,1,1,0,1
