source_dataset,building,label_mode,tag,model,family,architecture,hidden_col,param_count,node_count,leaf_count,tree_count,model_size_bytes,model_size_human,table_size_text,notes
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,Tabular,Linear classifier with C=1.0 and class-balanced weighting.,--,140.0,,,,1725,1.68 KB,140 weights,"coef_shape=(7, 19), intercept_shape=(7,), n_features=19, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,RF,Tabular,400 decision trees; minimum leaf size 2; unrestricted depth; class-balanced subsampling.,--,,693030.0,346715.0,400.0,83300613,79.44 MB,"693,030 nodes","trees=400, leaves=346715, n_features=19, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,XGBoost,Tabular,300 boosted trees; maximum depth 5; learning rate 0.08; row/column subsampling 0.85.,--,,64686.0,33393.0,2100.0,3584122,3.42 MB,"64,686 nodes","trees=2100, leaves=33393, n_features=19, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LSTM,Sequence,2×LSTM + linear classifier (last step to logits); dropout 0.2.,64,55690.0,,,,225377,220.09 KB,"55,690 params","input_dim=19, hidden=64, layers=2, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,CNN-LSTM,Sequence,"Conv1D (32 channels, kernel size 3) + 1×LSTM + linear classifier.",64,27594.0,,,,113113,110.46 KB,"27,594 params","input_dim=19, conv_channels=32, hidden=64, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,Informer,Sequence,Input projection to d=64 + 2×Transformer encoder (4 heads) + linear classifier.,64,564234.0,,,,2266895,2.16 MB,"564,234 params","input_dim=19, d_model=64, nhead=4, layers=2, ff_dim=2048, n_classes=10"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,LinearSVM,Tabular,Linear classifier with C=1.0 and class-balanced weighting.,--,84.0,,,,1269,1.24 KB,84 weights,"coef_shape=(6, 13), intercept_shape=(6,), n_features=13, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,RF,Tabular,400 decision trees; minimum leaf size 2; unrestricted depth; class-balanced subsampling.,--,,432288.0,216344.0,400.0,48546497,46.30 MB,"432,288 nodes","trees=400, leaves=216344, n_features=13, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,XGBoost,Tabular,300 boosted trees; maximum depth 5; learning rate 0.08; row/column subsampling 0.85.,--,,59272.0,30536.0,1800.0,3202946,3.05 MB,"59,272 nodes","trees=1800, leaves=30536, n_features=13, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,LSTM,Sequence,2×LSTM + linear classifier (last step to logits); dropout 0.2.,64,53959.0,,,,218465,213.34 KB,"53,959 params","input_dim=13, hidden=64, layers=2, n_classes=7"
