source_dataset,building,label_mode,manipulation,level,corrupt_where,split_mode,model,accuracy,macro_precision,macro_recall,macro_f1,runtime_s
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified,LinearSVM,0.5456349206349206,0.5223925336380153,0.6146205357142858,0.5354171055443195,0.0033953189849853516
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified,RF,0.9293981481481481,0.9195031339019485,0.9256944444444445,0.9208700262905964,0.16312789916992188
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified,XGBoost,0.921957671957672,0.8997614004503633,0.9327380952380953,0.9142924358321304,0.16758322715759277
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified,LSTM,0.4951150852790197,0.5024543939073285,0.6238445065937013,0.5069504835785861,0.012568950653076172
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified,CNN-LSTM,0.4891538334161285,0.4949356470568416,0.6156742480757571,0.49837503424136625,0.009903192520141602
LBNL_DataFDD,RTU,raw,clean,0.0,test,stratified,Informer,0.7858917039244908,0.7416368748919757,0.8329862027143887,0.7756877424449492,0.07720422744750977
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified,LinearSVM,0.5424933862433863,0.515730392210178,0.6067460317460318,0.5295185412549066,0.0010213851928710938
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified,RF,0.8429232804232805,0.8447637435037292,0.8027529761904761,0.8128740042184107,0.23745346069335938
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified,XGBoost,0.6626984126984127,0.6398874568195969,0.6138144841269841,0.5968796330148132,0.16715216636657715
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified,LSTM,0.49561185626759396,0.5028438633148162,0.6257276633787313,0.5075502599053838,0.0270383358001709
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified,CNN-LSTM,0.48931942374565324,0.4944233221756349,0.6148379092180335,0.49796191440246246,0.01606917381286621
LBNL_DataFDD,RTU,raw,noise,0.01,test,stratified,Informer,0.783739029640669,0.7387973495745106,0.8308889884734239,0.772986774041269,0.07713055610656738
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified,LinearSVM,0.4930555555555556,0.4615708657507061,0.5450272817460318,0.47615863940050246,0.0011315345764160156
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified,RF,0.685515873015873,0.6836023210208824,0.6301215277777776,0.6153863589196689,0.23039817810058594
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified,XGBoost,0.5107473544973545,0.46703044381220604,0.41906001984126984,0.39810196082392035,0.1680150032043457
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified,LSTM,0.49643980791521775,0.501882504675912,0.622053927603978,0.5067014900870597,0.026123523712158203
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified,CNN-LSTM,0.48782911077993046,0.49314976568739405,0.6158059756325194,0.49715044419137266,0.015557050704956055
LBNL_DataFDD,RTU,raw,noise,0.05,test,stratified,Informer,0.761384335154827,0.7129963812866612,0.8022497252922305,0.7469330825782283,0.07287120819091797
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified,LinearSVM,0.4310515873015873,0.410930824018073,0.4763020833333333,0.41805173340782975,0.0012896060943603516
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified,RF,0.6278108465608465,0.650107759517957,0.5747767857142858,0.5543501199870452,0.15546894073486328
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified,XGBoost,0.48660714285714285,0.44170773091915017,0.3863963293650794,0.3614263728048824,0.16761255264282227
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified,LSTM,0.4873323397913562,0.4918586864536227,0.6116727315279828,0.49705738108298014,0.027423620223999023
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified,CNN-LSTM,0.48253022023513825,0.48633405419312925,0.6083206644664568,0.4920900787775257,0.016921520233154297
LBNL_DataFDD,RTU,raw,noise,0.1,test,stratified,Informer,0.7163437655240934,0.6638414934250387,0.7463504082816417,0.6948434873944784,0.07822966575622559
LBNL_DataFDD,RTU,raw,drift,0.01,test,stratified,LinearSVM,0.5383597883597884,0.5203480702107454,0.6132936507936508,0.5292344251519188,0.001068115234375
LBNL_DataFDD,RTU,raw,drift,0.01,test,stratified,RF,0.8308531746031746,0.7943262782736216,0.8113839285714286,0.795101639253179,0.2302262783050537
LBNL_DataFDD,RTU,raw,drift,0.01,test,stratified,XGBoost,0.8146494708994709,0.7605840784612632,0.8079985119047619,0.7781462054669379,0.16861271858215332
LBNL_DataFDD,RTU,raw,drift,0.01,test,stratified,LSTM,0.490147375393277,0.49660372387835033,0.6131717391775048,0.5014065214992385,0.027051687240600586
LBNL_DataFDD,RTU,raw,drift,0.01,test,stratified,CNN-LSTM,0.49147209802947506,0.48727467088766,0.6111594924701148,0.4972805278908277,0.01652240753173828
LBNL_DataFDD,RTU,raw,drift,0.01,test,stratified,Informer,0.7161781751945686,0.6623087381973668,0.758051621740041,0.6938804098820542,0.07735157012939453
LBNL_DataFDD,RTU,raw,drift,0.05,test,stratified,LinearSVM,0.4451058201058201,0.49253441451300917,0.5458085317460317,0.440311810533409,0.0012898445129394531
LBNL_DataFDD,RTU,raw,drift,0.05,test,stratified,RF,0.6364087301587301,0.6056533529084102,0.5711681547619047,0.5610992829918098,0.21577191352844238
LBNL_DataFDD,RTU,raw,drift,0.05,test,stratified,XGBoost,0.5808531746031746,0.5993911183349567,0.5481026785714286,0.526519836094969,0.16448497772216797
LBNL_DataFDD,RTU,raw,drift,0.05,test,stratified,LSTM,0.3879781420765027,0.43661893953135317,0.4871312706615889,0.3919575102068841,0.021107912063598633
LBNL_DataFDD,RTU,raw,drift,0.05,test,stratified,CNN-LSTM,0.38002980625931443,0.43969699622858843,0.4768992750155106,0.38819016175655013,0.013002872467041016
LBNL_DataFDD,RTU,raw,drift,0.05,test,stratified,Informer,0.5462824971021693,0.5408806301488447,0.5510573765345546,0.5071836925923695,0.06324100494384766
LBNL_DataFDD,RTU,raw,drift,0.1,test,stratified,LinearSVM,0.36326058201058203,0.4769717540799956,0.46631944444444445,0.35581767887098203,0.0010616779327392578
LBNL_DataFDD,RTU,raw,drift,0.1,test,stratified,RF,0.5319113756613757,0.48873465878163513,0.44020337301587303,0.42549409034493396,0.15214276313781738
LBNL_DataFDD,RTU,raw,drift,0.1,test,stratified,XGBoost,0.48677248677248675,0.519370568093019,0.44521329365079365,0.4016971642490058,0.16886639595031738
LBNL_DataFDD,RTU,raw,drift,0.1,test,stratified,LSTM,0.3046862063255506,0.402212354809185,0.37989879733948345,0.2922527855420106,0.021237850189208984
LBNL_DataFDD,RTU,raw,drift,0.1,test,stratified,CNN-LSTM,0.29723464149693657,0.4153311404229729,0.36687187329557136,0.29117147998967396,0.014317750930786133
LBNL_DataFDD,RTU,raw,drift,0.1,test,stratified,Informer,0.4903129657228018,0.5215358774668046,0.43804385137819163,0.41189930870100583,0.07845783233642578
LBNL_DataFDD,RTU,raw,bias,0.01,test,stratified,LinearSVM,0.5287698412698413,0.5249165421758754,0.6091021825396825,0.5229327198870286,0.0012214183807373047
LBNL_DataFDD,RTU,raw,bias,0.01,test,stratified,RF,0.7437169312169312,0.7019530056874214,0.6990327380952381,0.6710985905426002,0.22476816177368164
LBNL_DataFDD,RTU,raw,bias,0.01,test,stratified,XGBoost,0.6850198412698413,0.7150370010106252,0.6237847222222221,0.5780544759418259,0.16538643836975098
LBNL_DataFDD,RTU,raw,bias,0.01,test,stratified,LSTM,0.4792184136446431,0.49470502874090255,0.5930002397048943,0.49086645426269826,0.026107311248779297
LBNL_DataFDD,RTU,raw,bias,0.01,test,stratified,CNN-LSTM,0.4802119556217917,0.4883384192783473,0.5912474815705989,0.488376091841341,0.01537942886352539
LBNL_DataFDD,RTU,raw,bias,0.01,test,stratified,Informer,0.6222884583540321,0.5914349143689079,0.6527377074436631,0.5927473433780095,0.07673335075378418
LBNL_DataFDD,RTU,raw,bias,0.05,test,stratified,LinearSVM,0.33019179894179895,0.4502664879120834,0.4421875,0.3178857694978868,0.0011632442474365234
LBNL_DataFDD,RTU,raw,bias,0.05,test,stratified,RF,0.5219907407407407,0.4446955956089589,0.3858878968253968,0.37420265403928776,0.2072293758392334
LBNL_DataFDD,RTU,raw,bias,0.05,test,stratified,XGBoost,0.4227843915343915,0.39081968631295577,0.39129464285714277,0.32540562716330973,0.18330001831054688
LBNL_DataFDD,RTU,raw,bias,0.05,test,stratified,LSTM,0.26560688855770825,0.3061928138376326,0.3377229902163807,0.2100872834486888,0.026114702224731445
LBNL_DataFDD,RTU,raw,bias,0.05,test,stratified,CNN-LSTM,0.2450736876966385,0.30524264490123254,0.3119630832665831,0.1934706127563082,0.015287399291992188
LBNL_DataFDD,RTU,raw,bias,0.05,test,stratified,Informer,0.44742507037589,0.43736329018469655,0.3912394147411709,0.34327123090806994,0.07634735107421875
LBNL_DataFDD,RTU,raw,bias,0.1,test,stratified,LinearSVM,0.19130291005291006,0.29965668144207364,0.285280257936508,0.13078402644439163,0.0023767948150634766
LBNL_DataFDD,RTU,raw,bias,0.1,test,stratified,RF,0.4029431216931217,0.2512360124343106,0.28201884920634923,0.23723335051039193,0.13973307609558105
LBNL_DataFDD,RTU,raw,bias,0.1,test,stratified,XGBoost,0.36921296296296297,0.24983860105981556,0.2638640873015873,0.1962332696631913,0.16937732696533203
LBNL_DataFDD,RTU,raw,bias,0.1,test,stratified,LSTM,0.15731081304851796,0.22096946201608195,0.16993611233336586,0.09337186412528559,0.02069878578186035
LBNL_DataFDD,RTU,raw,bias,0.1,test,stratified,CNN-LSTM,0.18811061434012255,0.24027425839921762,0.21075382328204878,0.10690557260118785,0.013234376907348633
LBNL_DataFDD,RTU,raw,bias,0.1,test,stratified,Informer,0.3739029640668985,0.37920774880433755,0.25205954388019175,0.1882030022913586,0.0771329402923584
LBNL_DataFDD,RTU,raw,missing,0.05,test,stratified,LinearSVM,0.44990079365079366,0.4288344793635601,0.4959573412698412,0.435190908596481,0.001337289810180664
