source_dataset,building,label_mode,tag,model,family,architecture,hidden_col,param_count,node_count,leaf_count,tree_count,model_size_bytes,model_size_human,table_size_text,notes
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,Tabular,Linear classifier with C=1.0 and class-balanced weighting.,--,160.0,,,,1893,1.85 KB,160 weights,"coef_shape=(8, 19), intercept_shape=(8,), n_features=19, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,RF,Tabular,400 decision trees; minimum leaf size 2; unrestricted depth; class-balanced subsampling.,--,,625404.0,312902.0,400.0,80191933,76.48 MB,"625,404 nodes","trees=400, leaves=312902, n_features=19, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,XGBoost,Tabular,300 boosted trees; maximum depth 5; learning rate 0.08; row/column subsampling 0.85.,--,,66824.0,34612.0,2400.0,3853863,3.68 MB,"66,824 nodes","trees=2400, leaves=34612, n_features=19, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LSTM,Sequence,2×LSTM + linear classifier (last step to logits); dropout 0.2.,64,55690.0,,,,225377,220.09 KB,"55,690 params","input_dim=19, hidden=64, layers=2, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,CNN-LSTM,Sequence,"Conv1D (32 channels, kernel size 3) + 1×LSTM + linear classifier.",64,27594.0,,,,113113,110.46 KB,"27,594 params","input_dim=19, conv_channels=32, hidden=64, n_classes=10"
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,Informer,Sequence,Input projection to d=64 + 2×Transformer encoder (4 heads) + linear classifier.,64,564234.0,,,,2266895,2.16 MB,"564,234 params","input_dim=19, d_model=64, nhead=4, layers=2, ff_dim=2048, n_classes=10"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,LinearSVM,Tabular,Linear classifier with C=1.0 and class-balanced weighting.,--,84.0,,,,1269,1.24 KB,84 weights,"coef_shape=(6, 13), intercept_shape=(6,), n_features=13, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,RF,Tabular,400 decision trees; minimum leaf size 2; unrestricted depth; class-balanced subsampling.,--,,285010.0,142705.0,400.0,32051244,30.57 MB,"285,010 nodes","trees=400, leaves=142705, n_features=13, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,XGBoost,Tabular,300 boosted trees; maximum depth 5; learning rate 0.08; row/column subsampling 0.85.,--,,52288.0,27044.0,1800.0,2965577,2.83 MB,"52,288 nodes","trees=1800, leaves=27044, n_features=13, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,LSTM,Sequence,2×LSTM + linear classifier (last step to logits); dropout 0.2.,64,53959.0,,,,218465,213.34 KB,"53,959 params","input_dim=13, hidden=64, layers=2, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,CNN-LSTM,Sequence,"Conv1D (32 channels, kernel size 3) + 1×LSTM + linear classifier.",64,26823.0,,,,110041,107.46 KB,"26,823 params","input_dim=13, conv_channels=32, hidden=64, n_classes=7"
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,Informer,Sequence,Input projection to d=64 + 2×Transformer encoder (4 heads) + linear classifier.,64,563655.0,,,,2264591,2.16 MB,"563,655 params","input_dim=13, d_model=64, nhead=4, layers=2, ff_dim=2048, n_classes=7"
LBNL_DataFDD,SZVAV,raw,LBNL_DataFDD__SZVAV__RAW,LinearSVM,Tabular,Linear classifier with C=1.0 and class-balanced weighting.,--,84.0,,,,1269,1.24 KB,84 weights,"coef_shape=(6, 13), intercept_shape=(6,), n_features=13, n_classes=6"
LBNL_DataFDD,SZVAV,raw,LBNL_DataFDD__SZVAV__RAW,RF,Tabular,400 decision trees; minimum leaf size 2; unrestricted depth; class-balanced subsampling.,--,,260118.0,130259.0,400.0,29263223,27.91 MB,"260,118 nodes","trees=400, leaves=130259, n_features=13, n_classes=6"
LBNL_DataFDD,SZVAV,raw,LBNL_DataFDD__SZVAV__RAW,XGBoost,Tabular,300 boosted trees; maximum depth 5; learning rate 0.08; row/column subsampling 0.85.,--,,47132.0,24466.0,1800.0,2790223,2.66 MB,"47,132 nodes","trees=1800, leaves=24466, n_features=13, n_classes=6"
LBNL_DataFDD,SZVAV,raw,LBNL_DataFDD__SZVAV__RAW,LSTM,Sequence,2×LSTM + linear classifier (last step to logits); dropout 0.2.,64,53894.0,,,,218209,213.09 KB,"53,894 params","input_dim=13, hidden=64, layers=2, n_classes=6"
LBNL_DataFDD,SZVAV,raw,LBNL_DataFDD__SZVAV__RAW,CNN-LSTM,Sequence,"Conv1D (32 channels, kernel size 3) + 1×LSTM + linear classifier.",64,26758.0,,,,109785,107.21 KB,"26,758 params","input_dim=13, conv_channels=32, hidden=64, n_classes=6"
LBNL_DataFDD,SZVAV,raw,LBNL_DataFDD__SZVAV__RAW,Informer,Sequence,Input projection to d=64 + 2×Transformer encoder (4 heads) + linear classifier.,64,563590.0,,,,2264335,2.16 MB,"563,590 params","input_dim=13, d_model=64, nhead=4, layers=2, ff_dim=2048, n_classes=6"
LBNL_DataFDD,MZVAV_1,raw,LBNL_DataFDD__MZVAV_1__RAW,LinearSVM,Tabular,Linear classifier with C=1.0 and class-balanced weighting.,--,17.0,,,,699,699 B,17 weights,"coef_shape=(1, 16), intercept_shape=(1,), n_features=16, n_classes=2"
