dataset,building,label_mode,tag,fi_type,model,feature,importance_mean,importance_std,method,manipulation,level,scenario
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Temperature,0.24098506569862366,0.009934335947036743,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Temperature Heating Set Point,0.09470700472593307,0.004071146249771118,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Temperature Cooling Set Point,0.08174566924571991,0.0018023811280727386,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Outdoor Air Temperature,0.3008846342563629,0.002419412136077881,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Return Air Temperature,0.2060757279396057,0.0016538426280021667,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Fan Status,0.0014629783108830452,0.0001901436480693519,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Fan Speed Control Signal,0.0006262349197641015,0.0002726281527429819,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Outdoor Air Damper Control Signal  ,0.10463593900203705,0.006458569318056107,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Return Air Damper Control Signal,0.043702706694602966,0.005720488727092743,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Exhaust Air Damper Control Signal    ,0.03055495023727417,0.0012322701513767242,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Cooling Coil Valve Control Signal,0.0888785794377327,0.000145740807056427,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Heating Coil Valve Control Signal,0.15045982599258423,0.004165917634963989,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,Occupancy Mode Indicator,0.132356196641922,0.005224309861660004,pfi_tab_metric=balanced_acc_R=2_eval=2000,clean,0.0,clean
